Country,Company,Name,Aroma,Flavor,Color,Body
Germany,Spaten,Spaten Munich Helles Premium Lager,"toasty, hop","bitter, sweet, pomaceous fruit, floral",straw,3.0
Germany,Spaten,Spaten Oktoberfestbier,"sweet, caramel","citrus fruit, nutty",straw,4.0
Germany,Bitburger,Bitbruger Premium Pils,"grassy, pomaceous fruit, fresh","neat, hop, nutty, malty",gold,2.0
Germany,Hofbr?u M?nchen,Hofbr?u M?nchen Original Larger,"floral, sweet, malty","nutty, malty, bitter, sweet",gold,3.0
Germany,Weltenburger,Weltenburger Barock Dunkel,"roasty, malty, hop","sweet, toasty",brown,3.0
Germany,Andechs,Andechs Weissbier Dunkel,"sweet, banana, spicy","sweet, fruity, toasty, caramel",brown,3.0
Germany,Andechs,Andechs Bergbock Hell,"alcohol, neat, fresh, hop","toasty, citrus fruit, bready",gold,3.0
Germany,Flensburger,Flensburger Pilsener,"fresh, hop","mlaty, hop",gold,3.0
Germany,Paulaner,Paulaner Salvator,"toasty, sweet, caramel, alcohol","dried fruit, toasty, smoky",brown,5.0
Germany,Schneider Weisse,Schneider Weisse TAP7 Original,"spicy, banana","tropical fruit, wheat, nutty, toasty",amber,3.0
Germany,Schneider Weisse,Schneider Weisse Aventinus Eisbock,"spicy, dried fruit","dried fruit, nutty, banana",brown,5.0
Germany,Einbecker,Einbecker Mai-Ur-Bock,"grassy, smooth, sweet, spicy","pomaceous fruit, fresh, citrus, toasty",gold,3.0
Germany,K?stritzer,K?stritzer Schwarzbier,"roasty, bitter, nutty","bitter, sweet",black,3.0
Germany,Schlenkerla,Schlenkerla Rauchbier M?rzen,"smoky, roasty","smoky, roasty, nutty",brown,5.0
Germany,Weihenstephaner,Weihenstephaner Kristall Weissbier,"fresh, banana, white wine","floral, tropical fruit",gold,1.0
Germany,Franziskaner,Franziskaner Hefe-Weissbier,"spicy, fruity, toasty","banana, citrus fruit",amber,3.0
Germany,Erdinger,Erdinger Weissbier,"sweet, banana, pomaceous fruit, fresh","banana, spicy, citrus, rice wine",amber,3.0
Germany,,Dom K?lsch,"malty, smooth, white wine, fruity",white wine,gold,2.0
Germany,,Gaffel K?lsch,"floral, white wine","hop, bready, smooth",straw,2.0
Germany,Zum Uerige,Zum Uerige Classic Alt,"grassy, sweet, nutty","toasty, fresh",amber,3.0
Belgium,Hoegaarden,Hoegaarden White,"citrus fruit, pomaceous fruit, dried fruit",citrus fruit,straw,1.0
Belgium,St.Feuillien,St.Feuillien Tripel,"citrus fruit, pomaceous fruit, spicy","pomaceous fruit, citrus fruit",amber,4.0
Belgium,Duvel Moortgat,Duvel Moortgat Duvel,"citrus fruit, spicy","banana, spicy",gold,5.0
Belgium,St.Bernardus,St.Bernardus Abt12,"pomaceous fruit, dried fruit, banana","roasty, caramel, sweet",brown,5.0
Belgium,Huyghe,Huyghe Delirium Tremens,"pomaceous fruit, citrus fruit, banana, spicy","citrus fruit, spicy, sweet, pomaceous fruit",gold,4.0
Belgium,Orval,Orval,"citrus fruit, pomaceous fruit",citrus fruit,brown,3.0
Belgium,Rochefort,Rochefort 10,"banana, dried fruit, caramel, sweet","dried fruit, sweet, berry, nutty",brown,5.0
Belgium,Westmalle,Westmalle Tripel,"banana, spicy, citrus fruit","tropical fruit, citrus fruit",amber,3.0
Belgium,Chimay,Chimay Blue,"grassy, bready, dried fruit, spicy, caramel, citrus fruit","caramel, berry, dried fruit, smoky",brown,5.0
Belgium,Dupont,Dupont Saison Dupont,"citrus fruit, banana, pomaceous fruit, sweet, spicy","citrus fruit, banana, sweet, spicy, citrus fruit, pomaceous fruit",gold,3.0
Belgium,Cantillon,Cantillon Gueuze,citrus fruit,"citrus fruit, citrus",gold,3.0
Belgium,De Halve Maan,De Halve Maan Brugse Zot Blond,"banana, pomaceous fruit","fruity, citrus fruit",amber,3.0
Belgium,Boelens,Boelens Bieken,"sweet, floral","sweet, bready, herb, spicy, pomaceous fruit",amber,3.0
Belgium,Bosteels,Bosteels Deus,"floral, herb, pomaceous fruit, fresh, dried fruit, sweet","floral, fresh, sweet, pomaceous fruit",straw,5.0
Belgium,Boon,Boon Framboise,"berry, fresh, citrus fruit","berry, smoky",brown,3.0
Belgium,Lindemans,Lindemans Cassis,"berry, dried fruit","berry, dried fruit",brown,1.0
Belgium,Het Anker,Het Anker Gouden Carolus,"dried fruit, pomaceous fruit, grassy, fresh, sweet, spicy, caramel","sweet, citrus fruit",brown,3.0
Belgium,De Ryck ,De Ryck Special,"citrus fruit, dried fruit, pomaceous fruit, smoky","sweet, caramel",amber,5.0
Belgium,Van den Bossche,Van den Bossche Buffalo Special Stout,"sweet, caramel, roasty, berry, dried fruit","citrus fruit, smoky, spicy",brown,5.0
Belgium,Van Eecke,Van Eecke Poperings Hommer Bier,"citrus, spicy, herb, pomaceous fruit, banana","fruity, sweet",amber,3.0
Belgium,De Cam,De Cam Oude Geuze,"citrus fruit, tropical fruit, pomaceous fruit",white wine,amber,3.0
Belgium,Verhaeghe,Verhaeghe Duchesse de Bourgogne,"citrus, berry, tropical fruit","pomaceous fruit, caramel, smoky",brown,3.0
Belgium,Rodenbach,Rodenbach Classic,"tropical fruit, berry, pomaceous fruit","fruity, citrus, dried fruit, oak",brown,3.0
